"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
353195082562;;;;;"Profil CURTINA X405 - biały mat - 2,2 m.b.";;;https://static.tildacdn.com/stor6336-6539-4630-b237-383862633235/82833499.png;132.00;98;;"Kolor:biały mat;Długość:2,2 m.b.";;M7K8jSGug5rmTO1txLm922;286691236472;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405?editionuid=353195082562
352183116882;;;;;"Profil CURTINA X405 - czarny mat - 2,2 m.b.";;;https://static.tildacdn.com/stor6336-6539-4630-b237-383862633235/82833499.png;132.00;0;;"Kolor:czarny mat;Długość:2,2 m.b.";;Rid7eYeaihDEYyuGmwIm10;286691236472;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405?editionuid=352183116882
207813980922;;;;;"Profil CURTINA X405 - biały mat - 3,2 m.b.";;;https://static.tildacdn.com/stor6336-6539-4630-b237-383862633235/82833499.png;192.00;100;;"Kolor:biały mat;Długość:3,2 m.b.";;hRYJaVIahB4Jg-O10ZpbV0;286691236472;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405?editionuid=207813980922
767458116892;;;;;"Profil CURTINA X405 - czarny mat - 3,2 m.b.";;;https://static.tildacdn.com/stor6336-6539-4630-b237-383862633235/82833499.png;192.00;100;;"Kolor:czarny mat;Długość:3,2 m.b.";;QYtmUePthsfmVcpZ7LaHB2;286691236472;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405?editionuid=767458116892
944430522512;Alumineu;;;"profile harpunowe>>>dystansowe LED";"Profil FLOATIA X301";"Profil alumineu FLOATIA X301 ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Z półką na taśmę led. Bez osłony i klosza.";;https://static.tildacdn.com/stor3431-3764-4662-b261-396335656162/27080112.png;;;;;;floatia_x301;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x301
647131319142;;;;;"Profil FLOATIA X301 - biały mat";;;https://static.tildacdn.com/stor3431-3764-4662-b261-396335656162/27080112.png;12.00;91;;"Kolor:biały mat";;jzysdA0nhEDukcRfamitz0;944430522512;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x301?editionuid=647131319142
457317933972;Alumineu;;;"profile harpunowe>>>dystansowe LED";"Profil FLOATIA X302";"Profil alumineu FLOATIA X302 ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Z półką na taśmę led i osłoną.";;https://static.tildacdn.com/stor3931-3330-4462-a435-366636663133/90638465.png;;;;;;floatia_x302;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x302
908822240152;;;;;"Profil FLOATIA X302 - surowy";;;https://static.tildacdn.com/stor3931-3330-4462-a435-366636663133/90638465.png;12.00;97;;Kolor:surowy;;IxT7oD8zhIbrnn2LbGw2D0;457317933972;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x302?editionuid=908822240152
460694307962;;;;;"Profil FLOATIA X302 - biały mat";;;https://static.tildacdn.com/stor3931-3330-4462-a435-366636663133/90638465.png;14.80;96;;"Kolor:biały mat";;Y7mho3jShobDY2hUqkXX83;457317933972;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x302?editionuid=460694307962
682226449002;;;;;"Profil FLOATIA X302 - czarny mat";;;https://static.tildacdn.com/stor3931-3330-4462-a435-366636663133/90638465.png;14.80;99;;"Kolor:czarny mat";;fxcs1s4Sg4i9usohMYyp11;457317933972;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x302?editionuid=682226449002
866589002222;Alumineu;;;"profile harpunowe>>>dystansowe";"Profil INVISIA X202";"Profil alumineu INVISIA X202 ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna.";;https://static.tildacdn.com/stor6364-3938-4362-a161-613065333330/51807590.png;;;;;;invisia_x202;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x202
187163923112;;;;;"Profil INVISIA X202 - czarny mat";;;https://static.tildacdn.com/stor6364-3938-4362-a161-613065333330/51807590.png;10.00;97;;"Kolor:czarny mat";;DJNjCqquhcS8YMhhFUUT-3;866589002222;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x202?editionuid=187163923112
214321009432;Alumineu;;;"profile harpunowe>>>dystansowe";"Profil INVISIA X205";"Patentowany profil INVISIA X205 ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna.";;https://static.tildacdn.com/stor3661-3636-4132-b561-373361633938/90510932.png;;;;;;invisia_x205;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x205
930494652722;;;;;"Profil INVISIA X205 - czarny mat";;;https://static.tildacdn.com/stor3661-3636-4132-b561-373361633938/90510932.png;12.00;90;;"Kolor:czarny mat";;lFPD6yXiiis-LJnoPBaa91;214321009432;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x205?editionuid=930494652722
637058175962;Alumineu;;;"profile harpunowe>>>dystansowe";"Profil INVISIA X204";"Profil alumineu INVISIA X204 separacyjny ze szczeliną cieniową do sufitów napinanych z harpunowym systemem mocowania płótna.";;"https://static.tildacdn.com/stor3434-3265-4264-b037-393430303862/13731245.png https://static.tildacdn.com/stor3735-6433-4266-b233-306637346432/47760675.png https://static.tildacdn.com/stor6634-3962-4232-b135-366161373062/96129108.png";;;;;;invisia_x204;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x204
219418945412;;;;;"Profil INVISIA X204 - czarny mat";;;https://static.tildacdn.com/stor3434-3265-4264-b037-393430303862/13731245.png;16.00;95;;"Kolor:czarny mat";;zA59TVMAiMOOTZf15BUvl2;637058175962;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x204?editionuid=219418945412
863595866502;Alumineu;;;akcesoria>>>osłony;"Osłona INSERTA Y015 F";"Wkładka rozpraszająca światło do profili FLOATIA X302, FLOATIA X303.";;https://static.tildacdn.com/stor3333-6531-4532-b535-333136616633/39683347.png;;;;;;inserta_y015_f;;0;0;0;0;https://alumineu.pl/produkty/akcesoria/oslony/inserta-y015-f
205632574742;;;;;"Osłona INSERTA Y015 F - mleczny";;;https://static.tildacdn.com/stor3333-6531-4532-b535-333136616633/39683347.png;6.00;99;;Kolor:mleczny;;CWpGaKdlgRQIwS9TWZI6n0;863595866502;0;0;0;0;https://alumineu.pl/produkty/akcesoria/oslony/inserta-y015-f?editionuid=205632574742
988132487472;Alumineu;;;akcesoria>>>osłony;"Osłona INSERTA Y030";"Wkładka rozpraszająca światło do profilu LIGHTRA X030.";;https://static.tildacdn.com/stor6233-6130-4263-a537-343734343934/61722635.png;;;;;;inserta_y030;;0;0;0;0;https://alumineu.pl/produkty/akcesoria/oslony/inserta-y030
167761625542;;;;;"Osłona INSERTA Y030 - mleczny";;;https://static.tildacdn.com/stor6233-6130-4263-a537-343734343934/61722635.png;6.00;96;;Kolor:mleczny;;MP9kMK6mg9LT--ZPdvSbb1;988132487472;0;0;0;0;https://alumineu.pl/produkty/akcesoria/oslony/inserta-y030?editionuid=167761625542
979499294302;Alumineu;;;"profile harpunowe>>>bezszczelinowe";"Profil CLASSIX X140";"Profi lalumineu CLASSIX X140 ścienny do sufitów napinanych z harpunowym systemem mocowania płótna. Bez osłony ściennej.";;https://static.tildacdn.com/stor6364-3837-4266-b039-343666393236/62434585.png;;;;;;classix_x140;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/bezszczelinowe/classix-x140
