"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url;Tabs:1
462428431762;;;;;"Profil INVISIA X209 - alb mat";;;https://static.tildacdn.com/stor3566-6236-4637-b937-393866626230/56260877.png;31.81;;;"culoare:alb mat";;cTT1GGAZj76alVXu4vaAe1;288954167352;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x209?editionuid=462428431762;
425076540332;;;;;"Profil INVISIA X209 - negru mat";;;https://static.tildacdn.com/stor3566-6236-4637-b937-393866626230/56260877.png;31.81;;;"culoare:negru mat";;EeRJkcybhq5xX9vhB-xzv3;288954167352;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x209?editionuid=425076540332;
864047075712;;;;"profile cu harpon>>>umbră LED";"Profil FLOATIA X303";"profil patentat FLOATIA X303® de tavan, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon. cu poliță pentru bandă led și inserție.";;https://static.tildacdn.com/stor6364-3233-4336-a330-346635653239/26118892.png;;;;;;floatia_x303;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra-led/floatia-x303;
832357855822;;;;;"Profil FLOATIA X303 - alb mat";;;;23.86;;;"culoare:alb mat";;xO7PAABriJTHSKVNGiuYl3;864047075712;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra-led/floatia-x303?editionuid=832357855822;
906636968422;;;;;"Profil FLOATIA X303 - negru mat";;;https://static.tildacdn.com/stor6364-3233-4336-a330-346635653239/26118892.png;23.86;;;"culoare:negru mat";;MyI2v2JMhnRtUrh6H58nz0;864047075712;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra-led/floatia-x303?editionuid=906636968422;
542737993872;;;;"profile cu harpon>>>dublu nivel";"Profil STRATOS X701";"profil patentat STRATOS X701® pentru tavane extensibile pe două niveluri, cu sistem harpon de prindere a pânzei. fără iluminare.";;https://static.tildacdn.com/stor3733-6632-4936-b834-386632393765/87572748.png;;;;;;stratos_x701;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/dublu-nivel/stratos-x701;
938257585092;;;;;"Profil STRATOS X701 - nevopsit";;;https://static.tildacdn.com/stor3733-6632-4936-b834-386632393765/87572748.png;37.11;;;culoare:nevopsit;;mCMAr4yQhDaPX-LNJ5RD73;542737993872;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/dublu-nivel/stratos-x701?editionuid=938257585092;
180714057592;;;;"profile cu harpon>>>etanși";"Profil CLASSIX X130";;;https://static.tildacdn.com/stor3065-6435-4264-a632-663130373939/86516483.png;;;;;;classix_x130;;0;0;0;0;https://alumineu.ro/tproduct/180714057592-profil-classix-x130;
351656730772;;;;;"Profil CLASSIX X130 - nevopsit";;;https://static.tildacdn.com/stor3065-6435-4264-a632-663130373939/86516483.png;3.98;;;culoare:nevopsit;;lxFpGXGnhGh-TPEwCLiEt2;180714057592;0;0;0;0;https://alumineu.ro/tproduct/180714057592-profil-classix-x130?editionuid=351656730772;
593233210852;;;;"profile cu harpon>>>etanși";"Profil CLASSIX X101";;;https://static.tildacdn.com/stor6266-6636-4931-a463-303537373565/72309046.png;;;;;;classix_x101;;0;0;0;0;https://alumineu.ro/tproduct/593233210852-profil-classix-x101;
380588718002;;;;;"Profil CLASSIX X101 - nevopsit";;;https://static.tildacdn.com/stor6266-6636-4931-a463-303537373565/72309046.png;15.90;;;culoare:nevopsit;;rtBsri0AgIfzRs45xlYEo3;593233210852;0;0;0;0;https://alumineu.ro/tproduct/593233210852-profil-classix-x101?editionuid=380588718002;
576662810612;;;;"profile cu harpon>>>dublu nivel";"Profil STRATOS X704";"profil patentat STRATOS X704® pentru plafoane extensibile cu sistem de fixare a membranei de tip harpon. pentru realizarea construcțiilor și a nișelor.";;https://static.tildacdn.com/stor3537-3638-4161-b338-373733636161/69167924.png;;;;;;stratos_x704;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/dublu-nivel/stratos-x704;
374541289962;;;;;"Profil STRATOS X704 - alb mat";;;https://static.tildacdn.com/stor3537-3638-4161-b338-373733636161/69167924.png;31.81;;;"culoare:alb mat";;TTCe8rd4gfNWGALqZZ6XQ1;576662810612;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/dublu-nivel/stratos-x704?editionuid=374541289962;
