"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
427716012144;;;;;"Room divider DECORRA - 1000 mm - black matte";;;https://static.tildacdn.com/stor6139-3730-4664-b233-383833336266/f6947e3953010fb76f3d62f3a44fef0a.webp;337.26;32;;"Length:1000 mm;Color:black matte";;bmi8XCqTjEWJdGyaSuIyc0;517271818064;0;0;0;0;https://alumineu.com/products/architectural-solutions/room-dividers/decorra?editionuid=427716012144
858044786404;;;;;"Room divider DECORRA - 1500 mm - white matte";;;https://static.tildacdn.com/stor6139-3730-4664-b233-383833336266/f6947e3953010fb76f3d62f3a44fef0a.webp;498.11;22;;"Length:1500 mm;Color:white matte";;1DXQpiEKjE3GouFX6fQLj1;517271818064;0;0;0;0;https://alumineu.com/products/architectural-solutions/room-dividers/decorra?editionuid=858044786404
455943154964;;;;;"Room divider DECORRA - 1500 mm - black matte";;;https://static.tildacdn.com/stor6139-3730-4664-b233-383833336266/f6947e3953010fb76f3d62f3a44fef0a.webp;498.11;20;;"Length:1500 mm;Color:black matte";;Mi1z6scziBgnL27xWxmwT2;517271818064;0;0;0;0;https://alumineu.com/products/architectural-solutions/room-dividers/decorra?editionuid=455943154964
967044798824;;;;"ventilation>>>slot diffusers";"Ventilation AEROOOM";;;https://static.tildacdn.com/stor6166-3131-4235-b362-613031616230/7f82d32fdcd499ef4d9178111576e837.png;;;;;;aerooom;;0;0;0;0;https://alumineu.com/products/ventilation/slot-diffusers/aerooom
499105603194;;;;;"Ventilation AEROOOM - W007 - black matte";;;https://static.tildacdn.com/stor6166-3131-4235-b362-613031616230/7f82d32fdcd499ef4d9178111576e837.png;74.72;18;;"Length:W007;Color:black matte";;67Bbx0xngULuV9UzemHTF3;967044798824;0;0;0;0;https://alumineu.com/products/ventilation/slot-diffusers/aerooom?editionuid=499105603194
855843645484;;;;;"Ventilation AEROOOM - W010 - black matte";;;https://static.tildacdn.com/stor6166-3131-4235-b362-613031616230/7f82d32fdcd499ef4d9178111576e837.png;93.40;20;;"Length:W010;Color:black matte";;jvZowSDbjriTyuZ4gKOP73;967044798824;0;0;0;0;https://alumineu.com/products/ventilation/slot-diffusers/aerooom?editionuid=855843645484
248474771124;;;;;"Ventilation AEROOOM - W014 - black matte";;;https://static.tildacdn.com/stor6166-3131-4235-b362-613031616230/7f82d32fdcd499ef4d9178111576e837.png;103.77;18;;"Length:W014;Color:black matte";;QUUROkmnjacZooCUHKa9k1;967044798824;0;0;0;0;https://alumineu.com/products/ventilation/slot-diffusers/aerooom?editionuid=248474771124
213733630904;;;;accessories>>>diffusers;"Diffusers DIFFUSY Y134";;;https://static.tildacdn.com/stor3165-6665-4166-a261-363536313138/61762478.png;;;;;;diffusy_y134;;0;0;0;0;https://alumineu.com/products/accessories/diffusers/diffusy-y134
110349279104;;;;;"Diffusers DIFFUSY Y134 - white";;;https://static.tildacdn.com/stor3165-6665-4166-a261-363536313138/61762478.png;2.59;99;;Color:white;;OKOeFss5i43IMv6ZjYcRM3;213733630904;0;0;0;0;https://alumineu.com/products/accessories/diffusers/diffusy-y134?editionuid=110349279104
146168941964;;;;"ventilation>>>slot diffusers";"Ventilation AERROLL";;;https://static.tildacdn.com/stor6164-3034-4230-b064-646531393764/5c1cff323bced9c464bf04cedcde95d9.png;;;;;;aerroll;;0;0;0;0;https://alumineu.com/products/ventilation/slot-diffusers/aerroll
330495212334;;;;;"Ventilation AERROLL - Z007 - black matte";;;https://static.tildacdn.com/stor6164-3034-4230-b064-646531393764/5c1cff323bced9c464bf04cedcde95d9.png;153.07;15;;"Length:Z007;Color:black matte";;KKdTYiB5ilH9EwahKpKah0;146168941964;0;0;0;0;https://alumineu.com/products/ventilation/slot-diffusers/aerroll?editionuid=330495212334
248730094784;;;;;"Ventilation AERROLL - Z010 - black matte";;;https://static.tildacdn.com/stor6164-3034-4230-b064-646531393764/5c1cff323bced9c464bf04cedcde95d9.png;194.58;18;;"Length:Z010;Color:black matte";;ARWzP670jnmjJZpK5JsEU1;146168941964;0;0;0;0;https://alumineu.com/products/ventilation/slot-diffusers/aerroll?editionuid=248730094784
284335948554;;;;;"Ventilation AERROLL - Z014 - black matte";;;https://static.tildacdn.com/stor6164-3034-4230-b064-646531393764/5c1cff323bced9c464bf04cedcde95d9.png;207.55;19;;"Length:Z014;Color:black matte";;xP5AwirJg8GaTPI5ZRvbx2;146168941964;0;0;0;0;https://alumineu.com/products/ventilation/slot-diffusers/aerroll?editionuid=284335948554
117908587664;;;;"clip-in profiles>>>cornice";"Profile TISSURE Z405";;;https://static.tildacdn.com/stor3838-6263-4030-a535-303163303037/82917354.png;;;;;;tissure_z405;;0;0;0;0;https://alumineu.com/products/clip-in-profiles/cornice/tissure-z405
778975696054;;;;;"Profile TISSURE Z405 - white matte - 3,2 lm";;;https://static.tildacdn.com/stor3838-6263-4030-a535-303163303037/82917354.png;72.64;99;;"Color:white matte;Length:3,2 lm";;ASFuUxWDgOBWCHN5ODymF1;117908587664;0;0;0;0;https://alumineu.com/products/clip-in-profiles/cornice/tissure-z405?editionuid=778975696054
667843649034;;;;;"Profile TISSURE Z405 - black matte - 3,2 lm";;;https://static.tildacdn.com/stor3838-6263-4030-a535-303163303037/82917354.png;72.64;99;;"Color:black matte;Length:3,2 lm";;Zroo3n3djONt0OopEffYs1;117908587664;0;0;0;0;https://alumineu.com/products/clip-in-profiles/cornice/tissure-z405?editionuid=667843649034
713338046314;;;;"clip-in profiles>>>two-level";"Profile UNITEXA Z701";;;https://static.tildacdn.com/stor3463-6134-4335-a261-383339626462/85604873.png;;;;;;unitexa_z701;;0;0;0;0;https://alumineu.com/products/clip-in-profiles/two-level/unitexa-z701
850212823214;;;;;"Profile UNITEXA Z701 - white matte - 2,0 m.b.";;;https://static.tildacdn.com/stor3463-6134-4335-a261-383339626462/85604873.png;14.01;99;;"Color:white matte;Length:2,0 m.b.";;SQKcK9vigikWY0Agh6ZSX0;713338046314;0;0;0;0;https://alumineu.com/products/clip-in-profiles/two-level/unitexa-z701?editionuid=850212823214
261482144794;;;;;"Profile UNITEXA Z701 - black matte - 2,0 m.b.";;;https://static.tildacdn.com/stor3463-6134-4335-a261-383339626462/85604873.png;14.01;99;;"Color:black matte;Length:2,0 m.b.";;zSQvbSNEiHa6S1KQEwaCY2;713338046314;0;0;0;0;https://alumineu.com/products/clip-in-profiles/two-level/unitexa-z701?editionuid=261482144794
